LUAD	FDR_LUAD	LUSC	FDR_LUSC
HELLS	5.36E-53	AFF3	1.98E-75
PDIA4	5.39E-53	PGR	3.39E-75
PLSCR4	5.51E-53	CFP	3.55E-75
MDK	8.46E-53	KLF6	3.80E-75
FIG4	8.87E-53	FAM72D	3.88E-75
GPR4	9.41E-53	C12orf56	4.78E-75
PRICKLE2	9.87E-53	FAM83F	4.89E-75
XRCC2	9.93E-53	MYADM	5.28E-75
LMOD1	1.00E-52	UBE2S	5.77E-75
C9orf100	1.07E-52	DSP	6.16E-75
ABHD6	1.08E-52	GABRA3	1.02E-74
WASF3	1.23E-52	KCTD12	1.08E-74
IGSF9	1.29E-52	FERMT1	1.40E-74
SIDT2	1.36E-52	CCDC69	1.45E-74
IL6	1.41E-52	F2RL3	1.96E-74
NUSAP1	1.62E-52	CCNE1	2.32E-74
CYP3A7	1.81E-52	MMP19	2.37E-74
RNF122	2.41E-52	AVPR2	2.90E-74
NDC80	2.43E-52	TRAIP	4.36E-74
ABCA9	2.45E-52	TMEM90A	4.43E-74
CXCR1	2.88E-52	HSPB7	4.57E-74
PDZD2	3.30E-52	TSPAN4	5.17E-74
RRM2	3.36E-52	INPP5K	5.30E-74
TTK	3.79E-52	ZMYND15	5.34E-74
PDK4	4.19E-52	GPR17	9.41E-74
ZNF366	4.40E-52	RECK	1.08E-73
PTCRA	5.59E-52	MSR1	1.17E-73
KIAA0101	6.24E-52	ARRB2	1.22E-73
DNASE2B	6.57E-52	CD83	1.24E-73
NCAPG	6.57E-52	CBX7	1.36E-73
MUSTN1	6.65E-52	TMEM125	1.65E-73
C2orf29	7.39E-52	B4GALNT4	1.87E-73
KRT79	7.60E-52	TSPAN12	1.94E-73
DENND2A	8.07E-52	KAT2B	3.07E-73
FOSB	8.82E-52	ACADL	4.11E-73
C16orf75	9.22E-52	RCC1	4.29E-73
RFX2	1.06E-51	VAMP2	5.31E-73
C7orf45	1.29E-51	S100A4	7.36E-73
SGOL1	1.43E-51	DUSP1	7.97E-73
TNR	1.95E-51	MAMDC2	1.03E-72
NCAPH	1.97E-51	KIF17	1.27E-72
MCM10	2.23E-51	ACACB	1.36E-72
CKAP2L	2.36E-51	LRRC2	1.62E-72
PPP1R14A	2.58E-51	C1orf112	2.65E-72
PTPLAD2	2.61E-51	COL6A6	2.70E-72
MDGA1	2.64E-51	IGSF9	4.88E-72
OLFML1	2.73E-51	DAAM2	5.24E-72
CHAF1B	3.00E-51	CENPH	5.77E-72
ST6GALNAC3	3.47E-51	LONRF3	6.24E-72
ZEB2	5.04E-51	C7orf58	7.14E-72
C1QTNF7	5.25E-51	DNA2	7.33E-72
FOXM1	6.09E-51	GIMAP7	7.86E-72
ZBED2	6.97E-51	ARHGAP18	8.66E-72
SLIT3	7.11E-51	PERP	1.08E-71
WISP2	7.26E-51	NXPH4	1.30E-71
FAM125B	8.25E-51	MCM8	1.45E-71
EML1	1.09E-50	AG2	1.47E-71
PKMYT1	1.30E-50	BTBD9	1.66E-71
AURKB	1.78E-50	FAM83D	3.11E-71
RASL12	2.19E-50	IL6ST	3.67E-71
KNTC1	2.20E-50	APLN	4.08E-71
PSAT1	2.31E-50	CCRL2	4.77E-71
NCF2	2.94E-50	LEFTY2	4.89E-71
COL10A1	3.20E-50	C7orf23	6.17E-71
CENPA	3.56E-50	GJA4	7.15E-71
AGRP	3.81E-50	DSCC1	7.46E-71
AGAP11	4.30E-50	SERPINB5	7.95E-71
LOC100131726	4.68E-50	ALDH2	8.52E-71
FGF11	4.72E-50	TM6SF1	8.53E-71
SORBS1	6.17E-50	FLVCR2	9.90E-71
PRC1	6.31E-50	KAL1	1.38E-70
ZNF423	6.63E-50	JUND	1.75E-70
SOSTDC1	6.83E-50	NCAPG2	2.27E-70
CHRNA2	8.04E-50	CCDC13	2.68E-70
ADRA1A	8.60E-50	MUSK	3.01E-70
IL33	9.46E-50	ADPRH	3.31E-70
LOC84740	9.50E-50	FMO5	3.38E-70
KCTD10	1.10E-49	GRHL3	3.51E-70
S100A3	1.26E-49	SIGLEC11	4.51E-70
CASS4	1.48E-49	MITF	5.31E-70
MAFF	1.49E-49	C12orf48	7.14E-70
EPN3	1.63E-49	ADARB1	7.61E-70
FANCI	1.72E-49	RILP	8.95E-70
STX1A	1.90E-49	CENPO	2.27E-69
EPB41L2	2.08E-49	C10orf10	2.41E-69
FUT2	2.46E-49	ECE2	3.17E-69
PTPN1	2.78E-49	C5orf32	3.33E-69
GPBAR1	2.92E-49	ZEB2	3.40E-69
NFKBIL2	3.29E-49	FPR2	3.98E-69
SLC24A4	3.31E-49	C10orf67	4.39E-69
ARHGAP24	3.44E-49	MLF1IP	4.54E-69
TNFSF12	4.20E-49	SHMT2	5.10E-69
ARHGEF6	4.58E-49	HMMR	6.57E-69
FAM65A	4.64E-49	TRAK2	8.30E-69
NHSL1	4.75E-49	FAM23A	8.91E-69
KIF15	5.33E-49	MFNG	9.36E-69
EME1	7.24E-49	GATA1	9.85E-69
TMPRSS4	7.54E-49	TMEM132A	1.12E-68
CDCA5	8.77E-49	SPC24	1.26E-68
FIBIN	9.90E-49	ROR1	1.33E-68
RHBDL2	1.20E-48	HOXC13	1.35E-68
HMGB3	1.28E-48	UNC13B	1.54E-68
SVEP1	1.45E-48	SLC35A1	1.60E-68
SIRPD	1.62E-48	CYP1A1	1.81E-68
MME	1.79E-48	04-Sep	1.83E-68
GPT2	1.80E-48	DQX1	2.82E-68
ZFYVE9	1.87E-48	PTH1R	4.47E-68
AGBL1	1.90E-48	ZNF385B	6.11E-68
PLA2G4F	1.93E-48	FYCO1	6.23E-68
GGA2	2.00E-48	SEMA3B	6.60E-68
KDELR3	2.50E-48	KHDRBS2	7.16E-68
GPM6B	2.67E-48	EMR3	7.91E-68
C17orf53	2.98E-48	TMEM220	8.58E-68
KAT2A	3.62E-48	DEFA1B	1.15E-67
PPM1D	3.86E-48	MS4A2	1.54E-67
FRY	4.50E-48	CCDC68	2.19E-67
PDE2A	4.55E-48	SELP	2.49E-67
CTNNAL1	5.25E-48	RASGRF1	2.51E-67
SERPING1	6.27E-48	LATS2	2.52E-67
C1orf198	7.69E-48	NTN4	3.24E-67
ESPL1	8.31E-48	MAP1LC3C	3.56E-67
ZBTB47	8.56E-48	CHAF1B	3.66E-67
SLC5A9	9.17E-48	ZBTB47	4.54E-67
KIAA0427	1.19E-47	AK3L1	4.74E-67
CCL23	1.21E-47	RFX2	5.25E-67
C6orf174	1.27E-47	ADCY9	5.29E-67
FLAD1	1.51E-47	C16orf75	5.32E-67
GINS2	1.56E-47	PTCRA	6.10E-67
C1QTNF2	1.63E-47	CCDC34	6.16E-67
RASAL1	1.67E-47	PRR11	6.26E-67
DONSON	1.67E-47	CYB5A	8.31E-67
C1orf170	1.81E-47	RBPMS	8.60E-67
SLC5A4	1.81E-47	FABP3	9.00E-67
NARF	2.61E-47	SLIT3	9.15E-67
CDT1	2.66E-47	AQP1	1.15E-66
EGR2	2.69E-47	FGF11	1.40E-66
C10orf10	2.82E-47	BMPR2	1.97E-66
GHR	3.46E-47	C17orf91	2.43E-66
FGF2	3.58E-47	FERMT2	3.17E-66
CRABP2	3.95E-47	CHEK2	3.36E-66
PIP5K1B	4.27E-47	C8B	3.53E-66
ORC1L	4.46E-47	ZFP106	4.34E-66
CCT3	4.57E-47	CAPN9	5.28E-66
NTN4	4.63E-47	TPPP3	5.29E-66
MKI67	4.94E-47	PID1	7.10E-66
CCNA2	5.75E-47	GPR87	8.75E-66
GPRIN1	6.36E-47	GRAMD2	1.21E-65
RAB40A	6.54E-47	FANCB	1.32E-65
MYH10	6.81E-47	CLEC4M	1.72E-65
CDCA2	7.19E-47	P2RY14	1.98E-65
EPR1	7.44E-47	AOX1	2.25E-65
PHKA1	7.58E-47	C5orf53	2.51E-65
SOX18	7.81E-47	KIAA1324L	2.81E-65
DARC	8.42E-47	HSD17B11	3.54E-65
ASF1B	9.42E-47	MS4A15	4.86E-65
TK1	1.01E-46	DARC	5.02E-65
POLQ	1.02E-46	BTNL9	5.58E-65
CSTF2	1.05E-46	PPP1R14A	6.76E-65
FRMD5	1.21E-46	SGCA	7.05E-65
SLC1A1	1.24E-46	SELPLG	7.24E-65
C8orf84	1.30E-46	DTL	8.45E-65
BRIP1	1.35E-46	SPOCK2	1.27E-64
FGFR4	1.55E-46	FAM72A	1.33E-64
GIMAP4	1.60E-46	FOLR1	1.33E-64
VEPH1	1.85E-46	CBLC	1.35E-64
TRAIP	1.99E-46	ABCB1	1.83E-64
EPCAM	2.26E-46	WDR62	1.99E-64
LILRA5	2.37E-46	E2F2	2.32E-64
CCNF	2.75E-46	LMOD3	2.54E-64
SCAI	3.10E-46	CSF3	2.95E-64
PTPRH	3.29E-46	ANGPT1	4.23E-64
PPAP2C	3.52E-46	NFKBIL2	4.99E-64
EPHA10	3.57E-46	CDKL2	5.49E-64
LIMCH1	3.59E-46	C19orf48	6.56E-64
GFOD1	4.08E-46	HOXA10	6.89E-64
EIF2AK1	5.21E-46	MYH1	7.69E-64
SCN7A	5.64E-46	STAC	7.71E-64
POLE2	6.18E-46	MGLL	1.06E-63
NDRG4	6.57E-46	SLC6A8	1.18E-63
DNA2	7.37E-46	MCM7	1.22E-63
PCDH15	8.52E-46	FAM131C	1.53E-63
CSRP1	9.33E-46	GINS4	1.54E-63
MSL3L2	1.02E-45	PDE5A	1.67E-63
EXD1	1.03E-45	NR4A3	1.74E-63
SYN2	1.04E-45	ACP5	1.76E-63
BUB1	1.07E-45	OR6K3	2.83E-63
PTGER4	1.14E-45	CABLES1	3.85E-63
GALNTL4	1.16E-45	MAGI1	5.01E-63
ALOX5AP	1.30E-45	IQSEC3	5.02E-63
TLR4	1.60E-45	C15orf23	5.46E-63
GREM1	1.61E-45	PITX1	5.46E-63
RETN	1.71E-45	FMO2	5.72E-63
GPER	1.77E-45	GPER	5.77E-63
CELSR3	1.80E-45	CHI3L2	6.12E-63
ICAM2	2.12E-45	GAPDH	8.27E-63
ANGPTL5	2.19E-45	RAB27A	9.69E-63
EDN1	2.38E-45	CDCA7	1.29E-62
PADI4	2.39E-45	PGLYRP1	1.30E-62
FAM136A	2.43E-45	TPK1	1.32E-62
KIFC1	2.53E-45	CD81	1.94E-62
SERINC2	2.64E-45	GSG2	2.12E-62
SLC2A1	2.84E-45	PPAP2B	2.15E-62
CAB39L	2.90E-45	FANCD2	2.49E-62
MCOLN1	3.11E-45	CD300LF	2.71E-62
MYBL2	3.49E-45	NEDD9	2.86E-62
C1orf74	3.60E-45	PLEKHH2	3.22E-62
KIF23	4.06E-45	LRRC70	3.33E-62
SLC44A2	4.60E-45	DUSP9	3.34E-62
FOLR3	4.82E-45	CKAP2	3.37E-62
TRAP1	5.36E-45	FAM54A	4.86E-62
DUOX1	5.36E-45	AQP4	6.01E-62
DBNDD1	5.50E-45	DLX6	6.37E-62
SLC35F2	6.37E-45	FCGRT	7.55E-62
C1orf183	6.38E-45	CHRM1	9.42E-62
TNFRSF21	6.68E-45	SIGLECP3	1.20E-61
SPC25	7.93E-45	FAM124B	1.39E-61
NEBL	8.49E-45	EFNA3	1.49E-61
TENC1	1.03E-44	ART1	1.64E-61
PTH1R	1.12E-44	GNAI2	1.66E-61
BCL2L2	1.30E-44	KIF18A	1.80E-61
MARCKSL1	1.31E-44	LAMB2	1.85E-61
UNC5CL	1.34E-44	SPI1	1.97E-61
ARHGAP18	1.36E-44	STEAP4	2.09E-61
SMYD5	1.56E-44	C12orf49	2.18E-61
EMP1	1.60E-44	NECAB1	2.45E-61
GJA5	2.05E-44	CENPL	2.47E-61
PLEK2	2.10E-44	PHF17	2.80E-61
SORBS3	2.10E-44	UNG	3.55E-61
ACACB	2.34E-44	GIPC3	3.56E-61
PBK	2.45E-44	CTSO	4.59E-61
ABCA12	2.61E-44	ST6GALNAC5	4.74E-61
OTX1	2.75E-44	PXMP4	5.44E-61
MYO7A	3.21E-44	MFSD2A	6.42E-61
GALNT7	3.42E-44	C20orf20	6.63E-61
ZYG11A	3.46E-44	RGS5	6.83E-61
ANKS1A	3.52E-44	MS4A14	7.84E-61
FAM111B	5.22E-44	CEACAM21	8.44E-61
FAM71A	5.51E-44	TDRD10	9.72E-61
MMP11	6.30E-44	PER1	9.78E-61
ECT2	6.36E-44	APOB48R	1.00E-60
EXOC3L	6.67E-44	C20orf72	1.06E-60
OVCH2	7.57E-44	KCNK3	1.08E-60
CENPI	7.90E-44	C10orf32	1.47E-60
SLC12A4	8.78E-44	SEC14L3	1.57E-60
SKA1	9.24E-44	SFTPA1	1.87E-60
SLC31A2	9.71E-44	FNIP2	1.94E-60
SC65	9.87E-44	SPATS2	2.18E-60
GGCT	1.04E-43	RCC2	3.22E-60
CRYAB	1.05E-43	POLE2	3.49E-60
MANF	1.09E-43	ESYT3	3.68E-60
SHROOM4	1.14E-43	ELANE	3.82E-60
TTN	1.18E-43	CD36	4.19E-60
FGFBP2	1.18E-43	GIMAP5	4.31E-60
BLM	1.29E-43	MYH10	4.57E-60
ARHGEF16	1.47E-43	SIGLEC16	5.23E-60
HSPB3	1.51E-43	SERPING1	6.17E-60
ZFP36	1.53E-43	GRASP	7.10E-60
CCDC50	1.63E-43	PLA1A	7.71E-60
ARHGEF3	1.97E-43	MYO19	8.88E-60
NEIL3	2.02E-43	C7	9.39E-60
SOX4	2.06E-43	PDE8B	1.01E-59
PVT1	2.14E-43	RAE1	1.14E-59
REM1	2.20E-43	PF4	1.17E-59
CYBRD1	2.87E-43	EPN3	1.37E-59
TMEM182	3.03E-43	RNASEH2A	1.70E-59
GJB2	3.09E-43	PPP1R15A	1.78E-59
MCM4	3.34E-43	RILPL2	2.10E-59
HEMGN	3.65E-43	ATP1A2	2.39E-59
PCDHGB7	3.68E-43	GJB5	2.43E-59
RAB26	3.99E-43	CA3	3.09E-59
AURKA	6.59E-43	SEC22C	3.65E-59
RADIL	6.78E-43	ZBTB4	3.81E-59
TMOD1	6.85E-43	C16orf89	4.94E-59
PID1	6.85E-43	ARHGEF6	5.07E-59
ESCO2	6.97E-43	ITPR1	5.83E-59
PVRL4	9.04E-43	CYP27A1	6.14E-59
AQP4	9.72E-43	KIF1C	7.05E-59
RRAS	1.03E-42	ARHGAP29	8.23E-59
HS6ST2	1.04E-42	TYMS	8.33E-59
ATP1A2	1.09E-42	ATP10A	8.60E-59
SAMD10	1.14E-42	WDR72	9.31E-59
FER1L4	1.29E-42	MRPL3	1.04E-58
NEXN	1.44E-42	GJB3	1.06E-58
C15orf42	1.49E-42	PPAT	1.29E-58
INPP5A	1.55E-42	TBX5	1.40E-58
SSFA2	1.57E-42	NR2F1	1.50E-58
E2F3	1.66E-42	CSE1L	1.52E-58
KLF10	1.72E-42	C5orf34	1.70E-58
MAD2L1	2.24E-42	COL4A3BP	1.74E-58
PDGFB	2.26E-42	GYPC	1.91E-58
HIST1H2BD	2.34E-42	ZEB1	1.99E-58
ADAMTSL4	3.11E-42	WWC1	2.01E-58
CD68	3.22E-42	RASSF3	2.02E-58
SPP1	3.53E-42	MMP24	2.02E-58
FANCD2	4.35E-42	PTGIR	2.30E-58
P2RY1	4.61E-42	PEBP4	2.38E-58
IL7R	5.40E-42	APBB1	2.50E-58
CCNE1	5.48E-42	RPL13AP17	2.84E-58
ECE2	5.60E-42	ALDH18A1	3.26E-58
APOB48R	5.72E-42	HOXD11	3.34E-58
CENPE	7.32E-42	CPB2	3.40E-58
TFR2	7.97E-42	CHRNA5	3.93E-58
CAV3	8.13E-42	ALDH1A2	4.23E-58
AG2	8.17E-42	ABCA12	4.25E-58
CFL2	1.02E-41	SYNPO	4.85E-58
PDLIM1	1.14E-41	GORASP1	5.25E-58
LOC399815	1.32E-41	TRIM29	5.59E-58
KAT2B	1.35E-41	MCM6	6.08E-58
PCYOX1	1.39E-41	SHOX2	6.21E-58
C5orf23	1.39E-41	PCNA	6.61E-58
ARRB2	1.49E-41	CNRIP1	7.46E-58
PIK3R1	1.55E-41	F10	7.66E-58
AGMAT	1.94E-41	ZIC5	8.38E-58
FPR1	2.01E-41	SFTPD	8.48E-58
NLN	2.21E-41	OTUD1	9.42E-58
SFXN4	2.28E-41	ATAD5	1.01E-57
TRAF4	2.45E-41	GIMAP1	1.12E-57
CCDC69	2.57E-41	C21orf45	1.21E-57
FAM64A	2.86E-41	SLC26A9	1.42E-57
FAM101B	3.27E-41	ZFP64	1.48E-57
PHOSPHO1	3.47E-41	CENPN	1.52E-57
POLG2	3.60E-41	LOC642587	1.79E-57
KLF2	3.63E-41	LMNB1	1.92E-57
BEND2	3.79E-41	EIF4E3	2.26E-57
NEK7	3.83E-41	SH3D19	2.28E-57
ANXA3	4.11E-41	ATP8A1	2.41E-57
RAB11FIP1	4.44E-41	NCF2	2.54E-57
C1QTNF6	4.86E-41	LGI4	2.63E-57
ADD1	4.97E-41	DKC1	2.74E-57
FANCA	5.59E-41	DPCR1	2.85E-57
SLC7A7	5.64E-41	ZIC2	3.02E-57
ABHD5	5.92E-41	COL7A1	3.04E-57
RAG1AP1	6.55E-41	FBXO45	3.60E-57
FBP1	6.95E-41	RAB11FIP2	3.63E-57
SPI1	7.19E-41	GPRC5A	3.96E-57
C1orf106	7.52E-41	ST7	4.10E-57
TIMELESS	1.20E-40	ARHGEF3	4.54E-57
TTC28	1.22E-40	RND1	5.91E-57
PCDHGC3	1.30E-40	ALOX15B	6.31E-57
PROS1	1.31E-40	PTGDS	6.81E-57
MGC27382	1.41E-40	GPR182	7.00E-57
KPNA2	1.45E-40	DOCK11	7.12E-57
PTTG1	1.46E-40	PLSCR4	8.26E-57
HAS1	1.48E-40	FAM125B	8.53E-57
SLC27A3	1.49E-40	TRIM59	8.75E-57
RAD51	1.55E-40	SACM1L	9.92E-57
FZD4	1.58E-40	NEXN	1.01E-56
F12	1.69E-40	ZC3H8	1.26E-56
SLC25A39	1.93E-40	KRT6A	1.63E-56
RALGPS2	1.94E-40	NDST1	1.90E-56
GAPDH	2.05E-40	LOC100125556	1.91E-56
GJA4	2.44E-40	GEN1	2.27E-56
HBG2	2.55E-40	EGFL7	2.53E-56
CYP27A1	2.56E-40	TMPRSS4	2.62E-56
WFDC1	2.59E-40	PLLP	2.66E-56
MLF1IP	2.77E-40	C10orf128	2.96E-56
SELPLG	3.02E-40	CKS1B	3.42E-56
HN1	3.15E-40	MBIP	3.61E-56
SHCBP1	3.29E-40	TMEM150B	4.16E-56
GMFG	3.37E-40	SFXN1	5.06E-56
MYO1B	3.49E-40	ALG1L	5.77E-56
C7orf16	3.52E-40	AFAP1L1	7.07E-56
SOCS2	4.19E-40	SPNS2	8.72E-56
LMO7	4.56E-40	SOD3	9.10E-56
PTPRM	5.65E-40	COX7A1	9.75E-56
NPM3	5.70E-40	SGOL2	1.04E-55
CRIM1	6.53E-40	PLEKHO2	1.21E-55
HLA-E	7.57E-40	PAICS	1.38E-55
RDM1	7.61E-40	DBF4	1.48E-55
PITX2	8.12E-40	ARHGEF10	1.49E-55
CLSPN	9.40E-40	GGTA1	1.66E-55
XDH	9.42E-40	CTSH	2.41E-55
TYMS	9.77E-40	KRT5	2.86E-55
RHBDL1	1.08E-39	AGTR1	2.89E-55
TFB2M	1.11E-39	PNMA2	3.11E-55
CALM1	1.16E-39	ANGPTL7	3.43E-55
GINS4	1.25E-39	C2	3.47E-55
B4GALT2	1.37E-39	ACTL6A	4.03E-55
AFF3	1.39E-39	CENPW	4.04E-55
ONECUT1	1.56E-39	KLHL33	4.07E-55
PDE8B	1.78E-39	KIF4B	4.10E-55
C6orf105	1.91E-39	TP63	4.73E-55
RGS17	1.94E-39	C14orf132	5.78E-55
PDE1B	2.05E-39	TNS4	6.41E-55
TM6SF1	2.07E-39	HOXA5	7.24E-55
LIPN	2.14E-39	CISH	8.00E-55
MT1M	2.18E-39	RGN	8.17E-55
SLC6A13	2.19E-39	ITIH3	8.55E-55
OGN	2.45E-39	FAT4	8.73E-55
LOC100302650	2.57E-39	NOD1	9.31E-55
DKC1	2.61E-39	PTTG3P	1.04E-54
FEN1	2.62E-39	FKBP4	1.12E-54
CDKN3	2.65E-39	IRF6	1.32E-54
CHEK1	2.93E-39	ESRP1	1.45E-54
CDK1	3.00E-39	F12	1.78E-54
MOSC2	3.06E-39	GMPS	1.88E-54
C1orf131	3.45E-39	IQSEC1	2.08E-54
CBX8	3.58E-39	FLJ37543	2.21E-54
ANKRD29	3.59E-39	CLSPN	2.67E-54
LRRFIP1	3.60E-39	TNR	2.89E-54
GPRIN2	3.73E-39	S1PR4	3.05E-54
MSI2	3.99E-39	DOK4	3.18E-54
CASC5	4.20E-39	REPS2	3.53E-54
KCTD12	4.28E-39	DSG3	3.64E-54
P4HB	4.44E-39	GGCT	4.01E-54
GDF2	4.79E-39	CARD16	4.59E-54
ANO6	5.27E-39	CYP2B7P1	4.65E-54
TDRKH	5.37E-39	NUP155	4.97E-54
GPR120	5.41E-39	LOC723809	5.28E-54
SEPP1	5.60E-39	FGD4	6.31E-54
C5orf34	6.50E-39	PKP1	6.52E-54
SGCA	6.68E-39	ZCWPW2	7.32E-54
PLEKHO2	7.17E-39	C8orf34	9.15E-54
CLDN18	7.85E-39	RFC5	9.47E-54
MRPL3	7.95E-39	CD33	1.18E-53
LOC400804	8.57E-39	RFWD3	1.21E-53
C3orf54	8.62E-39	TCTEX1D1	1.28E-53
UBL3	8.90E-39	SLIT2	1.34E-53
LIFR	1.07E-38	SNX2	1.40E-53
SALL4	1.08E-38	SFTPA2	1.42E-53
TFAP4	1.08E-38	DNAJC9	1.52E-53
TNFSF13	1.09E-38	MFSD2B	1.61E-53
WDR12	1.24E-38	KLF17	1.67E-53
ITGA8	1.40E-38	PIF1	1.67E-53
GNL3	1.40E-38	PAFAH1B3	2.49E-53
SYT7	1.45E-38	RHOV	2.57E-53
SLCO2A1	1.58E-38	FLAD1	2.72E-53
MRAS	1.68E-38	GINS3	3.29E-53
CD300LF	1.75E-38	ACOX2	3.32E-53
TFAP2A	1.78E-38	NEGR1	3.74E-53
C3orf64	1.86E-38	HEG1	3.91E-53
RAB40AL	1.91E-38	LYPD3	4.13E-53
FKBP11	1.98E-38	C9orf100	4.14E-53
SNX2	2.20E-38	CALML3	4.23E-53
PDK1	2.20E-38	ERBB4	4.32E-53
KISS1R	2.35E-38	CENPK	4.57E-53
CHRDL1	2.36E-38	C10orf95	5.00E-53
SRL	2.38E-38	NXPH3	5.13E-53
SRD5A1	2.38E-38	SKP2	5.44E-53
STYK1	2.48E-38	GPT2	6.11E-53
LMOD3	2.55E-38	TFAP4	7.14E-53
C11orf80	2.61E-38	PARD6B	7.18E-53
PAK1	2.76E-38	C6orf167	7.85E-53
N4BP2L1	2.95E-38	CCT3	7.92E-53
SPC24	3.11E-38	MMP11	8.18E-53
SLC22A18AS	3.35E-38	FCHO2	8.44E-53
PTGIR	3.72E-38	C3orf21	8.94E-53
PROM2	3.82E-38	KIAA0408	9.16E-53
CENPK	4.14E-38	PPP2R2C	9.20E-53
ARAP2	4.38E-38	MYO1C	9.75E-53
GMPPA	4.39E-38	SLC34A2	1.11E-52
ATP10B	4.83E-38	HOPX	1.15E-52
PPP1R14D	5.32E-38	FAM184A	1.16E-52
GRHL3	5.41E-38	SUV39H2	1.18E-52
DCAF13	5.48E-38	CADM1	1.27E-52
FBXO32	5.51E-38	JDP2	1.29E-52
COL11A1	5.58E-38	EFNA4	1.34E-52
HMGA1	5.60E-38	PKIG	1.45E-52
FBLN5	5.92E-38	DLX5	1.77E-52
FLJ34503	6.07E-38	NCAPD2	1.90E-52
APBB1	6.71E-38	GNGT1	2.18E-52
LRRC8C	6.71E-38	C5orf41	2.26E-52
ITPKA	6.82E-38	DDAH1	2.33E-52
CDH13	7.42E-38	GANC	2.59E-52
SEMA6D	7.79E-38	TBX2	2.62E-52
MCM2	7.86E-38	NRGN	2.75E-52
TNS3	8.48E-38	RPP40	3.22E-52
TPPP3	9.45E-38	HLA-E	3.54E-52
INTS8	9.76E-38	LOC100128191	3.80E-52
CCDC150	9.98E-38	FILIP1	3.82E-52
C12orf32	1.03E-37	FIGNL1	4.06E-52
DGCR5	1.22E-37	TK2	4.13E-52
PODXL2	1.23E-37	PRAME	4.23E-52
E2F2	1.25E-37	SNRPA1	4.29E-52
FCGR3B	1.31E-37	MEF2C	4.66E-52
OIP5	1.38E-37	IGF2BP3	4.77E-52
MYO1C	1.39E-37	GMNN	6.76E-52
HMOX1	1.39E-37	C7orf41	6.94E-52
BZW2	1.53E-37	KIAA1683	7.46E-52
ZBTB4	1.53E-37	RANBP1	7.90E-52
ROR1	1.54E-37	INCENP	8.30E-52
WNT2B	1.57E-37	NME1	9.26E-52
IL1RL1	1.83E-37	DLX6AS	9.63E-52
ELTD1	1.88E-37	FANCA	9.80E-52
F2RL3	1.93E-37	ADH1A	9.89E-52
IRAK1	2.00E-37	MLPH	1.03E-51
C10orf105	2.11E-37	SOCS3	1.10E-51
MGC42105	2.20E-37	DENR	1.13E-51
KCNIP1	2.24E-37	POC1A	1.36E-51
STOM	2.32E-37	SAMHD1	1.46E-51
XYLB	2.35E-37	SLC24A4	1.49E-51
PDCD2L	2.36E-37	CCT5	1.66E-51
GCNT3	2.38E-37	MMP12	1.99E-51
XPR1	2.55E-37	PUS7	2.42E-51
ITIH5	2.64E-37	C16orf88	2.47E-51
C10orf25	2.64E-37	PDE4C	2.50E-51
RSPO2	2.65E-37	KRTAP4-1	2.64E-51
ERO1L	2.69E-37	SRPK1	3.20E-51
SPATS2	2.77E-37	CTSL2	3.39E-51
FRMD4B	2.83E-37	MSL3L2	3.56E-51
C6orf25	3.11E-37	C2orf77	3.78E-51
CDC25A	3.21E-37	GYLTL1B	3.89E-51
C4orf38	3.37E-37	PYCR1	4.01E-51
RPGR	3.37E-37	DIXDC1	4.30E-51
CAMP	3.40E-37	KCNA5	4.35E-51
UBASH3B	3.50E-37	TEKT3	4.45E-51
DHH	3.56E-37	ZNF695	4.67E-51
GORASP2	3.68E-37	ARTN	4.81E-51
AK3L1	4.25E-37	SASS6	5.93E-51
HOXA5	4.34E-37	SIK2	6.73E-51
CYP24A1	4.38E-37	CCNE2	6.94E-51
C21orf62	4.54E-37	C13orf36	7.12E-51
RPP40	4.75E-37	KLB	7.54E-51
KIAA0907	5.08E-37	PIP5K1B	8.46E-51
FIGNL1	5.16E-37	GIMAP4	1.06E-50
HN1L	5.25E-37	ARNTL2	1.16E-50
WDR46	5.51E-37	CCDC99	1.19E-50
SH3BGRL	5.74E-37	RSPH10B2	1.27E-50
HSPD1	5.95E-37	DNAH7	1.46E-50
ZNF365	6.05E-37	TUBA1C	1.68E-50
MNX1	6.07E-37	OCLN	1.82E-50
PRR19	6.56E-37	ARID4A	1.88E-50
GUCY1A2	7.66E-37	SCN1A	1.91E-50
10-Sep	8.02E-37	LMNB2	2.04E-50
RUSC1	8.11E-37	TCF19	2.34E-50
BCL2L15	8.16E-37	NUDT1	2.36E-50
LYPD1	8.16E-37	PSRC1	2.40E-50
PLK4	8.20E-37	LASS3	2.89E-50
SLC39A11	9.53E-37	TTLL12	3.12E-50
PKP3	9.64E-37	DONSON	3.55E-50
P2RY6	1.02E-36	SPTBN2	3.97E-50
GALNT14	1.06E-36	PCDH17	4.94E-50
GPR172A	1.07E-36	TREM1	5.35E-50
ENO1	1.33E-36	PGC	6.35E-50
TARS2	1.40E-36	CASQ2	6.73E-50
PYGO2	1.41E-36	ICAM1	8.10E-50
SYT12	1.46E-36	SRD5A1	8.25E-50
DOCK11	1.48E-36	TXNIP	8.71E-50
ALG1L	1.49E-36	MGP	1.00E-49
LMNB1	1.49E-36	SULT1A1	1.01E-49
CYR61	1.63E-36	NPC2	1.02E-49
SMAD7	1.89E-36	LOC339674	1.07E-49
