Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
C9orf64,0.012343478,4.72371293,0.191877739,0.848055725,0.868991456,-8.000171518
SART1,0.015052405,5.602477573,0.19066299,0.849005961,0.86947732,-8.248634533
ANKRD10,0.018164749,5.534297404,0.187773226,0.851267363,0.871630327,-8.248732013
NME3,0.021597977,5.925592615,0.180089192,0.857286502,0.876483065,-8.248470455
SCAND1,0.018282552,5.892622535,0.177690146,0.859167481,0.878078461,-8.249646485
MAP2K1,0.01264675,5.90117468,0.174618154,0.861577261,0.880048809,-8.250013484
NOSIP,0.01345647,4.751621349,0.171356056,0.86413759,0.882335046,-8.029240528
NDUFB1,0.015590057,5.675295906,0.166367432,0.868055796,0.886170618,-8.253392045
PRR14,0.009957632,4.849348934,0.163759742,0.870105256,0.888097373,-8.109636652
NUP98,0.010963877,5.259882046,0.163234241,0.87051837,0.888353539,-8.248433528
VPS37C,0.010602135,5.024682066,0.162950565,0.870741392,0.888415659,-8.205448264
AC005912.1,0.0245243,5.999167071,0.162297833,0.8712546,0.888773776,-8.249633507
PKN2,0.013397515,4.866151124,0.161873867,0.871587971,0.888948342,-8.121949901
ANP32A,0.009752719,5.729170016,0.157852757,0.874750965,0.891510516,-8.254845072
MALAT1,0.036255309,6.308738486,0.154501637,0.877388491,0.894032275,-8.242887458
EMC7,0.011300337,7.032450873,0.154032566,0.877757787,0.894233395,-8.208347438
LUM,0.025240335,9.182915785,0.147811046,0.882658455,0.898733632,-8.081193939
IFI6,0.025513703,9.173979954,0.145312917,0.884627507,0.900571183,-8.082088422
THRAP3,0.009213711,6.747494491,0.145043245,0.884840108,0.900620277,-8.225847329
MED12,0.013541442,4.636594505,0.141905789,0.887314199,0.902970746,-7.924665344
DYNC1I2,0.007069245,5.524464856,0.141034032,0.888001834,0.903502702,-8.25639618
PELI1,0.01666892,5.699979367,0.132147827,0.895015967,0.910132235,-8.258585905
MSRB2,0.009869267,5.255683716,0.128803695,0.89765776,0.912479938,-8.253250681
TSPAN8,0.042162438,4.889406219,0.12851863,0.897883008,0.912539603,-8.142416649
LRP5,0.013995809,6.026464261,0.127994932,0.898296838,0.912790871,-8.253909929
PSME1,0.008763896,8.454565856,0.126457927,0.899511551,0.91373377,-8.124290163
SH2D4A,0.013828187,5.031966068,0.122933982,0.902297457,0.916176384,-8.213775327
CD248,0.019729035,5.194187862,0.121308017,0.903583299,0.916972198,-8.249215944
PDHB,0.006656506,4.85405778,0.118361287,0.905914273,0.919167463,-8.119480307
UBQLN1,0.00608288,5.972107459,0.115869458,0.907886041,0.920997523,-8.256837751
TBC1D9B,0.007909146,5.348601959,0.112533204,0.910526893,0.92347509,-8.258558913
SGTA,0.006681257,4.791906423,0.112358217,0.910665433,0.92347509,-8.072048215
FBLN2,0.018684058,5.28354918,0.111073522,0.911682637,0.924296999,-8.256761222
GMPR2,0.006684062,5.848087148,0.110893719,0.911825013,0.924296999,-8.260148991
CXCR4,0.01559345,6.870986538,0.110695425,0.911982036,0.924296999,-8.223497967
HNRNPH1,0.01003642,6.396319669,0.109427088,0.912986473,0.925053826,-8.246169213
COL6A1,0.01810832,7.176481936,0.108164444,0.913986539,0.925814799,-8.205618724
UPF1,0.008583198,5.520318411,0.106563753,0.915254551,0.926927853,-8.26066157
XRCC1,0.006535857,4.868041674,0.093819049,0.925357955,0.93646772,-8.132013296
PPP1R2,0.005181335,5.398446232,0.090089524,0.928316919,0.938941924,-8.261492349
DEFB1,0.031434146,4.019074922,0.088656251,0.929454331,0.939745392,-7.349902572
VPS26A,0.004843325,5.663819103,0.086574036,0.931106985,0.940918928,-8.263489039
RNF114,0.004767533,6.002794376,0.084171739,0.93301406,0.942474933,-8.259211478
TRBC1,0.013652897,5.386879066,0.078655916,0.937394274,0.946681651,-8.262340198
STAG2,0.004537916,5.529023665,0.07708419,0.938642765,0.947461995,-8.263430417
BAZ2A,0.007649044,5.272339738,0.075907949,0.939577205,0.948055894,-8.2595608
HMGN4,0.005197517,6.918222735,0.071835431,0.94281317,0.951003455,-8.22437373
GPBP1L1,0.003855183,5.905822434,0.069443968,0.94471384,0.952537197,-8.262809371
TM7SF2,0.008462526,4.851235304,0.064492062,0.948650478,0.95615452,-8.122390603
COMMD8,0.005669936,4.962341557,0.063297919,0.949599985,0.9569355,-8.190164275
DYNLL2,0.004487932,6.179328529,0.058230833,0.953629792,0.960643065,-8.256497382
NDUFB7,0.006257724,8.209474709,0.055595449,0.955726169,0.962488795,-8.143626935
POGK,0.003497488,5.30432667,0.051450612,0.959023893,0.965366877,-8.262418815
SLC25A6,0.002286494,5.659354767,0.048635512,0.961264056,0.967444115,-8.266046995
TRA2A,0.003219396,6.036801186,0.044275518,0.964734197,0.970401811,-8.260878367
CETN2,0.004120522,6.796391786,0.040708359,0.96757382,0.973079472,-8.232960201
EIF4B,0.002702466,7.287033136,0.03786164,0.96984024,0.974643191,-8.2037831
COPRS,0.002517623,6.110955976,0.034126068,0.972814691,0.977453088,-8.259320073
CD3D,0.005833687,4.928791865,0.032576323,0.974048789,0.978513626,-8.173700921
POLR2C,0.002179824,6.192626671,0.030226748,0.975919931,0.980033963,-8.257415936
TSC22D4,0.002073534,5.603596626,0.027511583,0.978082386,0.98184562,-8.266525539
RORC,0.00425757,4.411680581,0.024182536,0.980733977,0.984327067,-7.707030368
ZFAND6,0.001506293,5.626971294,0.021889688,0.982560361,0.985618495,-8.266818023
MIIP,0.00169368,4.815187862,0.020555339,0.983623289,0.986504119,-8.09686067
ECPAS,0.001368728,5.452146264,0.017926935,0.985717131,0.988423163,-8.265838113
SLC4A2,0.000617264,5.216175347,0.00736853,0.994129033,0.995764711,-8.258838407
GPBP1,0.000323152,5.528774678,0.005354254,0.995733913,0.996674874,-8.266400217
TSPAN1,0.001440345,6.413993952,0.004858199,0.99612915,0.996674874,-8.251565551
JKAMP,0.000262426,5.003208718,0.004496806,0.996417094,0.996780949,-8.210780061
UROD,-6.29E-05,5.515502875,-0.000887538,0.999292836,0.999292836,-8.26634022
TRA2B,-0.000200977,4.888119286,-0.003626156,0.997110795,0.997292816,-8.149881312
MFAP1,-0.000294479,5.616677772,-0.005003949,0.996013022,0.996674874,-8.266979475
RALBP1,-0.000355575,5.18368883,-0.005100229,0.99593631,0.996674874,-8.255387008
ZNF672,-0.000421679,5.409081275,-0.006671192,0.994684636,0.995957076,-8.265646365
HIGD2A,-0.000533937,7.18850174,-0.006691529,0.994668433,0.995957076,-8.210725765
ATXN10,-0.000635181,5.867956557,-0.010797584,0.99139698,0.993209738,-8.265929327
C1S,-0.001776363,7.294018552,-0.011871531,0.990541347,0.992534024,-8.203980405
PCMTD2,-0.000855689,4.95558461,-0.012088154,0.990368761,0.992534024,-8.188692269
CLDND1,-0.001070466,5.095471334,-0.014265111,0.98863438,0.990985688,-8.240112125
IFI44,-0.002439207,5.420056672,-0.014711204,0.988278984,0.990810715,-8.265652321
NBR1,-0.001373148,6.075457449,-0.022075069,0.982412691,0.985618495,-8.260586121
HK1,-0.001767213,6.346685222,-0.023719253,0.981103001,0.984517095,-8.253500558
SLC29A1,-0.002732686,5.834865423,-0.028799759,0.977056415,0.980995437,-8.266113371
RB1CC1,-0.002250947,5.029443841,-0.030497102,0.975704622,0.979997364,-8.220012437
H2AZ2,-0.00227151,6.358082355,-0.038059943,0.969682352,0.974643191,-8.252707522
GOLGB1,-0.003904667,5.258049094,-0.038652257,0.969210764,0.974368032,-8.260968277
GOLM2,-0.002702995,5.679326759,-0.039968125,0.968163134,0.973493451,-8.266508821
KDM3B,-0.003415875,5.415157601,-0.046080676,0.963297378,0.969134472,-8.264654069
PEX19,-0.003256834,5.487405453,-0.048401559,0.961450242,0.967453788,-8.2650151
SELENOS,-0.004352966,5.9516762,-0.054493834,0.956602566,0.963106479,-8.262620843
NBDY,-0.004155348,5.159321702,-0.055485817,0.955813384,0.962488795,-8.250591515
ZFP36L1,-0.007048182,7.981756589,-0.062148684,0.95051385,0.957680284,-8.156151037
GDI1,-0.004836979,6.228555795,-0.06593009,0.947507149,0.95517786,-8.254801068
THAP7,-0.006420826,4.732942024,-0.071258831,0.943271407,0.951257875,-8.024589912
SNX7,-0.00722364,5.00859134,-0.071794687,0.94284555,0.951003455,-8.210281817
IP6K2,-0.004689611,4.985896235,-0.076209467,0.939337662,0.947988773,-8.200490995
DCXR,-0.008328564,6.360844872,-0.078085485,0.937847374,0.946833566,-8.250285688
RARRES1,-0.016337373,5.135127411,-0.078492447,0.937524117,0.946681651,-8.245193669
ST6GAL1,-0.009560585,5.207681887,-0.086328429,0.931301943,0.940918928,-8.254287137
ARV1,-0.007494579,4.938031115,-0.086509783,0.931157987,0.940918928,-8.175672096
RAB3GAP1,-0.004903581,5.151639816,-0.086985383,0.930780475,0.940912587,-8.247181731
GNPTG,-0.007328757,5.516870408,-0.089580456,0.928720886,0.939177138,-8.262316221
RXRB,-0.005347893,5.409451641,-0.092078193,0.926739003,0.937519018,-8.261411904
NFKB2,-0.009245353,5.328247226,-0.092597939,0.926326657,0.937274931,-8.260167644
KIAA0930,-0.007938627,5.147257049,-0.096934101,0.922887303,0.934139947,-8.245574287
NOTCH2,-0.012326255,4.826688247,-0.104295128,0.917052049,0.928405059,-8.10063159
GBE1,-0.009677096,4.75458411,-0.106177102,0.915560876,0.927066723,-8.040962423
LSM3,-0.007019668,5.137976912,-0.109326103,0.913066452,0.925053826,-8.242761378
ACSL5,-0.021585369,6.111441971,-0.121452254,0.903469224,0.916972198,-8.252481341
SERPINE1,-0.030073556,6.435340121,-0.121997697,0.903037857,0.916758276,-8.243337069
S100A9,-0.035243225,9.549732286,-0.124885866,0.900754214,0.914778932,-8.062465033
HDGFL2,-0.009588988,4.935399572,-0.126398773,0.899558305,0.91373377,-8.169942148
ANAPC13,-0.009250307,6.083333538,-0.130007963,0.89670628,0.911681891,-8.252130726
INTS3,-0.012787385,4.771616883,-0.139438853,0.889260319,0.904447241,-8.051684789
PLAGL2,-0.015651582,4.654934771,-0.139638058,0.889103145,0.904447241,-7.943164385
TXN2,-0.011453001,6.980546563,-0.153225846,0.878392975,0.894556712,-8.211544065
IMPACT,-0.011463902,4.815892345,-0.153836332,0.877912289,0.894233395,-8.085744197
HMGN2,-0.012399212,7.518408023,-0.158005001,0.874631173,0.891510516,-8.176434801
TECR,-0.011113064,5.461029581,-0.158511412,0.874232728,0.891313941,-8.253426593
CCDC124,-0.014349813,6.383958141,-0.15975919,0.873251115,0.89047885,-8.239777953
ZBTB18,-0.023457187,4.99146254,-0.172375339,0.863337428,0.881682342,-8.190957612
BIRC3,-0.032618789,4.977256157,-0.175493869,0.860890186,0.879510969,-8.183929314
TCF25,-0.011207991,5.192303653,-0.176763265,0.859894421,0.878657503,-8.240703089
BUD13,-0.010581879,5.063845284,-0.179705797,0.857587049,0.876626762,-8.215450082
C12orf57,-0.022382118,4.749807051,-0.18053379,0.856938003,0.87629028,-8.026004331
SEMA3C,-0.031557344,4.829540467,-0.183528288,0.854591496,0.874053912,-8.091370908
TUBGCP2,-0.011660631,5.014982547,-0.183858397,0.854332899,0.873952568,-8.198285427
PAF1,-0.011364013,6.250048728,-0.184549949,0.853791212,0.87356154,-8.239328019
BCL2L13,-0.010828143,4.801258093,-0.184780659,0.853610513,0.873539784,-8.068819611
ZRANB2,-0.015025642,5.269828594,-0.186937527,0.851921574,0.871974277,-8.244776133
SF3B5,-0.014694176,8.171412193,-0.18737811,0.851576659,0.871784102,-8.129608736
UPF2,-0.018409776,4.528684717,-0.190858,0.848853399,0.86947732,-7.807049587
FAM83E,-0.031126742,4.91815003,-0.190899741,0.848820745,0.86947732,-8.149817437
FLYWCH2,-0.014058203,5.571258142,-0.192088425,0.847890938,0.86898512,-8.248140326
HSBP1,-0.015900781,5.412365758,-0.194749827,0.845809926,0.867014515,-8.246641691
RESF1,-0.025709496,4.645154685,-0.204522176,0.838178101,0.85967387,-7.92231134
CDK11B,-0.01541068,4.765580422,-0.206081111,0.836962032,0.858641301,-8.034930339
ATRN,-0.018191376,4.88398191,-0.207872959,0.835564761,0.857796389,-8.125496991
RARS2,-0.014779361,5.292810816,-0.211035645,0.8330998,0.85574687,-8.240961149
RPF1,-0.012830527,5.386216716,-0.216090838,0.829163284,0.852022812,-8.241981702
STK17A,-0.02600959,5.062935905,-0.22576903,0.821638941,0.844924879,-8.205797579
HERPUD1,-0.022897282,6.636043164,-0.238903283,0.811454204,0.834921612,-8.21343136
ZNF664,-0.02070605,6.267895017,-0.239192428,0.811230346,0.834848059,-8.227236789
PRPF4B,-0.016699971,4.872009606,-0.241098345,0.809755164,0.833486482,-8.109990355
PPP4R3A,-0.016441075,5.453294444,-0.243631284,0.80779572,0.831782137,-8.236187176
FUCA1,-0.029953785,7.35742443,-0.245932119,0.806016881,0.830106483,-8.169521332
GATD1,-0.023650414,4.610713881,-0.247011407,0.805182802,0.829403379,-7.878134903
TRAPPC6A,-0.02863389,5.964509273,-0.250312832,0.802632836,0.826932175,-8.232304498
RGL2,-0.019215051,5.775934073,-0.257466793,0.797114534,0.821864985,-8.233887503
ITPR3,-0.037119221,5.917118239,-0.262420162,0.793299653,0.818393674,-8.230376502
CMIP,-0.022360634,4.651061689,-0.265643308,0.790819989,0.815989212,-7.913715476
SPG21,-0.015296553,6.419340527,-0.27076246,0.786886063,0.812236009,-8.214561081
THUMPD1,-0.015236718,4.978928771,-0.273066172,0.785117505,0.810563183,-8.162732599
RAB4A,-0.020200821,5.33535169,-0.273186426,0.785025217,0.810563183,-8.227165034
SPTLC1,-0.012851888,5.376238683,-0.273658104,0.78466326,0.810399623,-8.227700544
GEM,-0.048062102,5.449084536,-0.27412334,0.784306292,0.810183668,-8.22822983
LTBP1,-0.044040083,4.9981782,-0.288740701,0.773114313,0.799828799,-8.166862917
AC243919.1,-0.062646841,8.435480954,-0.290421716,0.771830217,0.798651135,-8.090949028
MED24,-0.025245463,5.297781014,-0.294624774,0.768622345,0.795933061,-8.219914779
RPS12,-0.026819922,11.72149383,-0.295640083,0.767848033,0.795281545,-7.915440876
PICALM,-0.019926142,6.756476825,-0.296892511,0.766893208,0.794442784,-8.191662529
CADPS2,-0.036534126,4.999987002,-0.300542744,0.764112386,0.791861503,-8.164111764
NUDT2,-0.033113134,4.989570432,-0.304221239,0.761313134,0.789557952,-8.158571266
NAA38,-0.035237098,5.692757388,-0.30821623,0.758276602,0.786557649,-8.219626738
KLHDC8B,-0.030930808,5.3430957,-0.319766744,0.749518511,0.77806213,-8.213458902
ADI1,-0.029874202,6.012767975,-0.322492365,0.747456523,0.776068655,-8.210265231
ASB8,-0.017415225,4.75483768,-0.335435231,0.737690063,0.7668002,-7.99035205
WSB2,-0.027262909,5.862094327,-0.343278793,0.731792047,0.761102624,-8.206900845
HNRNPM,-0.023179148,6.692838064,-0.343995826,0.731253659,0.760831522,-8.179830753
SLC11A2,-0.027796579,4.803785084,-0.344405654,0.730945998,0.760655864,-8.028437354
TRBC2,-0.061634545,6.113205339,-0.348259362,0.728055128,0.757935407,-8.198926702
ATP6AP2,-0.018445729,5.92750116,-0.349094171,0.727429406,0.75742792,-8.203504573
SEL1L,-0.026850211,5.769240799,-0.349332014,0.727251167,0.757386266,-8.205934269
MCFD2,-0.023018608,6.216533642,-0.351457722,0.725658827,0.755871618,-8.195240774
EGFR,-0.066319458,5.215520213,-0.35636527,0.721987221,0.752476315,-8.19501494
SEPTIN2,-0.017173294,7.490093914,-0.35794681,0.720805355,0.751530455,-8.126584319
COPS7A,-0.025981324,6.372478428,-0.364825122,0.715673123,0.746605681,-8.186127663
ATP5F1A,-0.025553117,6.757461091,-0.368463838,0.712963319,0.744487521,-8.167698242
MYO10,-0.044671753,4.603577849,-0.369015688,0.712552666,0.744200545,-7.833196498
UGCG,-0.033047653,5.841286354,-0.374201635,0.708697724,0.740597908,-8.196101502
TRNP1,-0.085541718,4.609851172,-0.3756343,0.707634081,0.739768581,-7.83707106
TRAM2,-0.041792255,4.569062581,-0.375836714,0.707483851,0.739752676,-7.795608601
ADM,-0.079781969,4.536480194,-0.376763978,0.706795788,0.739253045,-7.762044946
ACTR10,-0.020386612,5.55817907,-0.377650111,0.706138472,0.738768892,-8.194958436
GPX1,-0.042719548,9.435595792,-0.381553446,0.70324569,0.736304823,-8.004003733
DNAJC8,-0.020226887,6.708548671,-0.382294328,0.702697106,0.735871072,-8.165058286
PLXNB2,-0.045832843,7.310568039,-0.387839271,0.698596341,0.732136448,-8.127434426
ASB13,-0.028020846,4.836208988,-0.390143742,0.696894665,0.730492801,-8.03692509
SYPL1,-0.028630783,7.318107268,-0.393365492,0.694518228,0.728419864,-8.124776522
PIM3,-0.045533894,7.304636684,-0.401121725,0.688809493,0.722847579,-8.122559319
ATP5F1D,-0.038407861,5.79306623,-0.405356957,0.685699783,0.719997913,-8.184529546
ATP2A3,-0.066098701,4.861180032,-0.41056356,0.681884195,0.716128715,-8.046970043
RAB35,-0.024002976,5.490648658,-0.412249375,0.680650519,0.715107228,-8.18085537
SIPA1,-0.03296613,5.375808663,-0.413191658,0.679961333,0.714657231,-8.179571656
SLC43A3,-0.053317281,4.788911523,-0.414112326,0.679288216,0.714086749,-7.98982582
SPPL3,-0.027033357,5.004982592,-0.415975878,0.67792653,0.712928879,-8.124594987
RPS6KA3,-0.040876147,5.336009678,-0.4179021,0.676520166,0.711586482,-8.176962618
SLFN5,-0.049142372,5.162525808,-0.417983704,0.67646061,0.711586482,-8.164862413
MBTPS1,-0.025391842,5.653912293,-0.418260616,0.676258533,0.711584502,-8.179349354
SRSF6,-0.030834591,6.310349654,-0.421119428,0.674173682,0.709527008,-8.165772482
RNF14,-0.028893008,5.026770851,-0.42796993,0.669188085,0.70495703,-8.127555299
WAC,-0.025832192,5.244585507,-0.428832991,0.66856101,0.70443188,-8.168593957
IRF2BP2,-0.030730676,6.594967795,-0.435475826,0.663742351,0.699758388,-8.148847524
SDC3,-0.04958502,5.658376529,-0.443229178,0.658135827,0.694382091,-8.168573694
RPL34,-0.043165526,8.428534599,-0.459841315,0.646188819,0.682434182,-8.027505236
FBRS,-0.030744348,5.289971075,-0.463466041,0.643594058,0.680087144,-8.155358373
ACO1,-0.047541699,5.099090076,-0.465548861,0.642105048,0.67864459,-8.132274455
COX14,-0.044953659,6.31564119,-0.468501863,0.639996429,0.67680765,-8.144467288
SKIL,-0.045077358,5.263954836,-0.47776441,0.633401484,0.670480435,-8.147422278
MYC,-0.081835093,5.321692513,-0.479617156,0.632085822,0.669346389,-8.148779027
ADPRS,-0.031777099,6.29564903,-0.4803078,0.631595686,0.668956652,-8.139397552
QSOX1,-0.060639955,7.411556274,-0.483768832,0.629141924,0.666486582,-8.078778489
CAP1,-0.025819468,8.449259815,-0.485620443,0.627830882,0.66522634,-8.014203597
OSBPL8,-0.03665249,4.884845999,-0.485679218,0.627789285,0.66522634,-8.029338943
UBQLN2,-0.030275383,5.50082482,-0.489724712,0.624929058,0.662447666,-8.145835678
TNFAIP2,-0.087631744,5.84089958,-0.491699026,0.623535249,0.661314291,-8.145039992
NFKBIB,-0.037896103,5.059594006,-0.493595872,0.622197409,0.660023157,-8.108071335
TADA3,-0.029687572,5.990386436,-0.495546116,0.620823219,0.658820534,-8.139796386
CCDC97,-0.02920299,5.283812633,-0.499657788,0.617930406,0.656386331,-8.13761351
EMILIN1,-0.084884203,5.956536779,-0.501208059,0.616841241,0.65535644,-8.137851957
HADHB,-0.023939414,6.461002783,-0.502635378,0.615839209,0.65441874,-8.123001141
VEGFA,-0.068660165,5.566965858,-0.504828961,0.614300638,0.652910417,-8.138684074
ATP6V1A,-0.031185895,6.035309221,-0.506067701,0.613432545,0.652114264,-8.13331121
CCNB1IP1,-0.048745279,4.844673039,-0.508553619,0.611692095,0.650390256,-7.989843591
CHMP1B,-0.042423601,6.081039053,-0.510090124,0.610617456,0.64937365,-8.130040638
TMEM59,-0.043018192,6.954741664,-0.51770779,0.605302143,0.644096027,-8.090285944
TYK2,-0.040176341,5.022607794,-0.518462839,0.604776439,0.643661638,-8.083091726
RPS9,-0.051181766,8.951281553,-0.531897338,0.595457402,0.634112946,-7.963539857
PEX2,-0.045233422,5.152214871,-0.53451532,0.593649119,0.632556111,-8.107629773
MRFAP1L1,-0.029935019,6.617608009,-0.535526224,0.59295155,0.631985326,-8.099016777
LGMN,-0.053952756,7.487465952,-0.53596333,0.592650044,0.631983183,-8.046907696
GBP2,-0.071294597,5.427828927,-0.536251746,0.592451141,0.631894063,-8.121444858
SPRED2,-0.048174257,5.257786097,-0.55158753,0.581919715,0.621024176,-8.10895898
RBX1,-0.046611138,5.891746918,-0.552054737,0.581600263,0.620804177,-8.112523034
SKP1,-0.035396828,5.374376604,-0.55259896,0.581228255,0.620527983,-8.111990094
NOP10,-0.050081449,8.498341846,-0.562595343,0.574415206,0.613732628,-7.971187507
